Great Sand Dunes	Colorado 37°44′N 105°31′W﻿ / ﻿37.73°N 105.51°W﻿ / 37.73; -105.51﻿ (Great Sand Dunes)	000000002004-09-13-0000September 13, 2004	The tallest sand dunes in North America, up to 750 feet (230&#160;m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.[33]
Great Smoky Mountains	Tennessee, North Carolina 35°41′N 83°32′W﻿ / ﻿35.68°N 83.53°W﻿ / 35.68; -83.53﻿ (Great Smoky Mountains)	000000001934-06-15-0000June 15, 1934	The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300&#160;km) of trails, including 70 miles (110&#160;km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[34]
Guadalupe Mountains	Texas 31°55′N 104°52′W﻿ / ﻿31.92°N 104.87°W﻿ / 31.92; -104.87﻿ (Guadalupe Mountains)	000000001966-10-15-0000October 15, 1966	This park boasts Guadalupe Peak, the highest point in Texas; the scenic McKittrick Canyon filled with bigtooth maples; a corner of the arid Chihuahuan Desert; and a fossilized coral reef from the Permian era.[35]
Haleakalā	Hawaii 20°43′N 156°10′W﻿ / ﻿20.72°N 156.17°W﻿ / 20.72; -156.17﻿ (Haleakala)	000000001916-08-01-0000August 1, 1916	The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. It is home to the greatest number of endangered species within a U.S. National Park.[36]
Hawaii Volcanoes	Hawaii 19°23′N 155°12′W﻿ / ﻿19.38°N 155.20°W﻿ / 19.38; -155.20﻿ (Hawaii Volcanoes)	000000001916-08-01-0000August 1, 1916	This park on the Big Island protects the famous Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000&#160;m).[37]
Hot Springs	Arkansas 34°31′N 93°03′W﻿ / ﻿34.51°N 93.05°W﻿ / 34.51; -93.05﻿ (Hot Springs)	000000001921-03-04-0000March 4, 1921	Hot Springs was established by act of Congress as a federal reserve on April 20, 1832, as such it is the oldest park managed by the National Park Service. Congress changed the reserve's designation to National Park on March 4, 1921 after the National Park Service was established in 1916. Hot Springs is the smallest and only National Park in an urban area and is based around natural hot springs that flow out of the low lying Ouachita Mountains. The springs provide opportunities for relaxation in an historic setting; Bathhouse Row preserves numerous examples of 19th-century architecture.[38]
Isle Royale	Michigan 48°06′N 88°33′W﻿ / ﻿48.10°N 88.55°W﻿ / 48.10; -88.55﻿ (Isle Royale)	000000001940-04-03-0000April 3, 1940	The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2&#160;km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.[39]
Joshua Tree	California 33°47′N 115°54′W﻿ / ﻿33.79°N 115.90°W﻿ / 33.79; -115.90﻿ (Joshua Tree)	000000001994-10-31-0000October 31, 1994	Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this exotic desert landscape is populated by vast stands of the famous Joshua tree. Great changes in elevation reveal starkly contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[40]
Katmai	Alaska 58°30′N 155°00′W﻿ / ﻿58.50°N 155.00°W﻿ / 58.50; -155.00﻿ (Katmai)	000000001980-12-02-0000December 2, 1980	This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[41]
Kenai Fjords	Alaska 59°55′N 149°39′W﻿ / ﻿59.92°N 149.65°W﻿ / 59.92; -149.65﻿ (Kenai Fjords)	000000001980-12-02-0000December 2, 1980	Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed from boat tours.[42]
Kings Canyon	California 36°48′N 118°33′W﻿ / ﻿36.80°N 118.55°W﻿ / 36.80; -118.55﻿ (Kings Canyon)	000000001940-03-04-0000March 4, 1940	Home to several giant sequoia groves and the General Grant Tree, the world's second largest, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[43]
Kobuk Valley	Alaska 67°33′N 159°17′W﻿ / ﻿67.55°N 159.28°W﻿ / 67.55; -159.28﻿ (Kobuk Valley)	000000001980-12-02-0000December 2, 1980	Kobuk Valley protects 61 miles (98&#160;km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30&#160;m) high and 100&#160;°F (38&#160;°C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[44]
Lake Clark	Alaska 60°58′N 153°25′W﻿ / ﻿60.97°N 153.42°W﻿ / 60.97; -153.42﻿ (Lake Clark)	000000001980-12-02-0000December 2, 1980	The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges fill in the remaining landscape.[45]
Lassen Volcanic	California 40°29′N 121°31′W﻿ / ﻿40.49°N 121.51°W﻿ / 40.49; -121.51﻿ (Lassen Volcanic)	000000001916-08-09-0000August 9, 1916	Lassen Peak, the largest plug dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder dome, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active: numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[46]
Mammoth Cave	Kentucky 37°11′N 86°06′W﻿ / ﻿37.18°N 86.10°W﻿ / 37.18; -86.10﻿ (Mammoth Cave)	000000001941-07-01-0000July 1, 1941	With more than 400 miles (640&#160;km) of passageways explored, Mammoth Cave is by far the world's longest cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.[47]
Mesa Verde	Colorado 37°11′N 108°29′W﻿ / ﻿37.18°N 108.49°W﻿ / 37.18; -108.49﻿ (Mesa Verde)	000000001906-06-29-0000June 29, 1906	This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include the famous Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.[48]
Mount Rainier	Washington 46°51′N 121°45′W﻿ / ﻿46.85°N 121.75°W﻿ / 46.85; -121.75﻿ (Mount Rainier)	000000001899-03-02-0000March 2, 1899	Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades, and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the continental United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests. Paradise on the south slope is one of the snowiest places in the world, and the Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[49]
North Cascades	Washington 48°42′N 121°12′W﻿ / ﻿48.70°N 121.20°W﻿ / 48.70; -121.20﻿ (North Cascades)	000000001968-10-02-0000October 2, 1968	This complex encompasses two units of the national park itself as well as the Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology; popular hiking and climbing areas include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.[50]
Olympic	Washington 47°58′N 123°30′W﻿ / ﻿47.97°N 123.50°W﻿ / 47.97; -123.50﻿ (Olympic)	000000001938-06-29-0000June 29, 1938	Situated on the Olympic Peninsula, this park straddles a diversity of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of Mount Olympus. The scenic Olympic Mountains overlook the Hoh Rain Forest and Quinault Rain Forest, the wettest area in the continental United States.[51]
Petrified Forest	Arizona 35°04′N 109°47′W﻿ / ﻿35.07°N 109.78°W﻿ / 35.07; -109.78﻿ (Petrified Forest)	000000001962-12-09-0000December 9, 1962	This portion of the Chinle Formation has a great concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of wonderfully red-hued volcanic rock called bentonite. There are also dinosaur fossils and over 350 Native American sites.[52]
Pinnacles	California 36°29′N 121°10′W﻿ / ﻿36.48°N 121.16°W﻿ / 36.48; -121.16﻿ (Pinnacles)	000000002013-01-10-0000January 10, 2013	Named for the eroded leftovers of a portion of an extinct volcano, the park is famous for its massive black and gold monoliths of andesite and rhyolite, which are popular with rock climbers, and a hiker's paradise of quiet trails crossing scenic Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons, and more than 13 species of bat which populate its talus caves.[53]
Redwood	California 41°18′N 124°00′W﻿ / ﻿41.30°N 124.00°W﻿ / 41.30; -124.00﻿ (Redwood)	000000001968-10-02-0000October 2, 1968	This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60&#160;km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a huge variety of animal and plant species.[54]
Rocky Mountain	Colorado 40°24′N 105°35′W﻿ / ﻿40.40°N 105.58°W﻿ / 40.40; -105.58﻿ (Rocky Mountain)	000000001915-01-26-0000January 26, 1915	Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacier valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the famous Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700&#160;m).[55]
Saguaro	Arizona 32°15′N 110°30′W﻿ / ﻿32.25°N 110.50°W﻿ / 32.25; -110.50﻿ (Saguaro)	000000001994-10-14-0000October 14, 1994	Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.[56]
Sequoia	California 36°26′N 118°41′W﻿ / ﻿36.43°N 118.68°W﻿ / 36.43; -118.68﻿ (Sequoia)	000000001890-09-25-0000September 25, 1890	This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest in the park. It also has over 240 caves, a scenic segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a photogenic granite dome.[57]
Shenandoah	Virginia 38°32′N 78°21′W﻿ / ﻿38.53°N 78.35°W﻿ / 38.53; -78.35﻿ (Shenandoah)	000000001926-05-22-0000May 22, 1926	Shenandoah's Blue Ridge Mountains are covered by sprawling hardwood forests that teem with tens of thousands of animals. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800&#160;km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[58]
Theodore Roosevelt	North Dakota 46°58′N 103°27′W﻿ / ﻿46.97°N 103.45°W﻿ / 46.97; -103.45﻿ (Theodore Roosevelt)	000000001978-11-10-0000November 10, 1978	This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.[59]
Virgin Islands	United States Virgin Islands 18°20′N 64°44′W﻿ / ﻿18.33°N 64.73°W﻿ / 18.33; -64.73﻿ (Virgin Islands)	000000001956-08-02-0000August 2, 1956	The island of Saint John has rich human and natural histories. Taíno archaeological sites and ruins of sugar plantations from Columbus' time litter the coast. Past the pristine beaches are mangrove forests, seagrass beds, coral reefs, and vast algal plains.[60]
Voyageurs	Minnesota 48°30′N 92°53′W﻿ / ﻿48.50°N 92.88°W﻿ / 48.50; -92.88﻿ (Voyageurs)	000000001971-01-08-0000January 8, 1971	This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing, and preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and ambitious gold-miners. Formed by glaciers, the region features tall bluffs, rock gardens, scenic islands and bays, and several historic buildings.[61]
Wind Cave	South Dakota 43°34′N 103°29′W﻿ / ﻿43.57°N 103.48°W﻿ / 43.57; -103.48﻿ (Wind Cave)	000000001903-01-09-0000January 9, 1903	Wind Cave is distinctive for its calcite fin formations called boxwork and needle-like growths called frostwork. Additionally, it is the world's densest and most complex cave system. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs.[62] and ponderosa pine forests home to cougars and elk. It is culturally significant to the Lakota people as the site in which their emergence story takes place.
Wrangell–​St.&#160;Elias	Alaska 61°00′N 142°00′W﻿ / ﻿61.00°N 142.00°W﻿ / 61.00; -142.00﻿ (Wrangell – St. Elias)	000000001980-12-02-0000December 2, 1980	An immense plot of mountainous country protects the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[63]
Yellowstone	Wyoming, Montana, Idaho 44°36′N 110°30′W﻿ / ﻿44.60°N 110.50°W﻿ / 44.60; -110.50﻿ (Yellowstone)	000000001872-03-01-0000March 1, 1872	Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including vividly colored hot springs, boiling mud pots, and regularly erupting geysers, the best-known being Old Faithful and Grand Prismatic Spring. The yellow-hued Grand Canyon of the Yellowstone River has a number of scenic waterfalls, and four mountain ranges run through the park. More than 60 mammal species including gray wolves, grizzly bears, lynxes, bison, and elk, make this park one of the best wildlife viewing spots in the country.[64]
Yosemite	California 37°50′N 119°30′W﻿ / ﻿37.83°N 119.50°W﻿ / 37.83; -119.50﻿ (Yosemite)	000000001890-10-01-0000October 1, 1890	Among the earliest candidates for National Park status, Yosemite features towering granite cliffs, dramatic waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, North America's tallest waterfall. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to an abundance of rare plant and animal species.[65]
Zion	Utah 37°18′N 113°03′W﻿ / ﻿37.30°N 113.05°W﻿ / 37.30; -113.05﻿ (Zion)	000000001919-11-19-0000November 19, 1919	Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this geological wonder has colorful sandstone canyons, mountainous mesas, and countless rock towers. Natural arches and exposed plateau formations compose a large wilderness roughly divided into four ecosystems: desert, riparian, woodland, and coniferous forest.[66]
